#SERVO3-S Parameter Limitcheck
#
# Index|Subindex|IndexID|SubindexID|Category|ShortName|Datatype|WriteLevel|Persistent|MinVal|MaxVal|DefaultVal|Limittest|Recordable|CANopenPDO|Trigger|ResetType|ParTakeOver|InDevice|ModuleCode|AmpOffOnly|ModeToggle|ActionCmd|InPLCopen|Unit|Sercos2IDN
#
1|1|MAND|PRGNR|identification|_prgNoDEV|UINT32|4|0|NDef|NDef|NDef|1|0||0|NoRes||1||0|0|0|0||
1|2|MAND|VERSION|identification|_prgVerDEV|UINT16|4|0|NDef|NDef|NDef|1|0||0|NoRes||1||0|0|0|0||
1|3|MAND|DATE|identification|_buildDateDEV|UINT32|0|0|NDef|NDef|NDef|1|0||0|NoRes||1||0|0|0|0||
1|4|MAND|REVISION|identification|_prgRevDEV|UINT16|4|0|NDef|NDef|NDef|1|0||0|NoRes||1||0|0|0|0||
1|5|MAND|CFGPRGNR|no||UINT32|0|0|NDef|NDef|NDef|1|0||0|NoRes||1||0|0|0|0||
1|6|MAND|CFGVERSCUR|no||UINT16|0|0|NDef|NDef|NDef|1|0||0|NoRes||1||0|0|0|0||
1|7|MAND|FLASHCOMPAT|no||UINT32|0|0|NDef|NDef|NDef|1|0||0|NoRes||1||0|0|0|0||
1|8|MAND|OBJDBVERSION|monitoring|_objDBversion|UINT32|0|0|NDef|NDef|NDef|1|0||0|NoRes||1||0|0|0|0||
1|9|MAND|CFGVERSOLD|no||UINT16|0|0|NDef|NDef|NDef|1|0||0|NoRes||1||0|0|0|0||
1|10|MAND|LOGIN|command||UINT16|1|0|0|4|NDef|2|0||0|NoRes|Sofort|1||0|0|0|0||
1|11|MAND|ACCESSLEVEL|command|AccessLevel|UINT32|1|0|0|4294967295|1|2|0||0|NoRes|Sofort|1||0|0|0|0||
1|12|MAND|ACCESSINFO|monitoring|_AccessInfo|UINT16|0|0|NDef|NDef|NDef|1|0||0|NoRes||1||0|0|0|0||
1|13|MAND|ACCESSEXCL|command|AccessExcl|UINT16|1|0|NDef|NDef|NDef|1|0||0|NoRes|Sofort|1||0|0|0|0||
1|14|MAND|ACCESSLOCK|no|AccessLock|UINT16|1|0|0|1|0|1|0||0|NoRes|Sofort|1||0|0|0|0||
1|15|MAND|CONFIGLOCK|no|ConfigLock|UINT16|1|0|0|12|0|1|0||0|NoRes|Sofort|1||0|0|0|0||
1|18|MAND|PNAME1|identification|_ProductName|UINT32|4|1|NDef|NDef|NDef|1|0||0|NoRes||1||1|0|0|0||
1|19|MAND|PNAME2|identification||UINT32|4|1|NDef|NDef|NDef|1|0||0|NoRes||1||1|0|0|0||
1|20|MAND|PNAME3|identification||UINT32|4|1|NDef|NDef|NDef|1|0||0|NoRes||1||1|0|0|0||
1|21|MAND|PNAME4|identification||UINT32|4|1|NDef|NDef|NDef|1|0||0|NoRes||1||1|0|0|0||
1|22|MAND|SERNUM1|identification|_serialNoP1DEV|UINT32|4|1|0|4294967295|NDef|1|0||0|NoRes||1||1|0|0|0||
1|23|MAND|SERNUM2|identification|_serialNoP2DEV|UINT32|4|1|0|4294967295|NDef|1|0||0|NoRes||1||1|0|0|0||
1|24|MAND|SERNUM3|identification|_serialNoP3DEV|UINT32|4|1|0|4294967295|NDef|1|0||0|NoRes||1||1|0|0|0||
1|25|MAND|SERNUM4|identification|_serialNoP4DEV|UINT32|4|1|0|4294967295|NDef|1|0||0|NoRes||1||1|0|0|0||
1|26|MAND|FLASHREQUEST|no||UINT16|2|0|NDef|NDef|NDef|1|0||0|NoRes||1||1|0|0|0||
1|28|MAND|STARTUPMSG|setting|StartUpMessage|UINT32|1|0|NDef|NDef|NDef|1|0||0|NoRes|Sofort|1||0|0|0|0||
1|29|MAND|CPURESET|no||UINT16|4|0|NDef|NDef|NDef|1|0||0|NoRes||1||1|0|0|0||
1|30|MAND|VENDOR1|no|_VendorName|UINT32|4|1|NDef|NDef|NDef|1|0||0|NoRes||1||1|0|0|0||
1|31|MAND|VENDOR2|no||UINT32|4|1|NDef|NDef|NDef|1|0||0|NoRes||1||1|0|0|0||
1|32|MAND|VENDOR3|no||UINT32|4|1|NDef|NDef|NDef|1|0||0|NoRes||1||1|0|0|0||
1|33|MAND|VENDOR4|no||UINT32|4|1|NDef|NDef|NDef|1|0||0|NoRes||1||1|0|0|0||
1|34|MAND|VENDOR5|no||UINT32|4|1|NDef|NDef|NDef|1|0||0|NoRes||1||1|0|0|0||
1|35|MAND|MNAME1|identification|_modelName|UINT32|4|1|NDef|NDef|NDef|1|0||0|NoRes||1||1|0|0|0||
1|36|MAND|MNAME2|identification||UINT32|4|1|NDef|NDef|NDef|1|0||0|NoRes||1||1|0|0|0||
1|37|MAND|MNAME3|identification||UINT32|4|1|NDef|NDef|NDef|1|0||0|NoRes||1||1|0|0|0||
1|38|MAND|MNAME4|identification||UINT32|4|1|NDef|NDef|NDef|1|0||0|NoRes||1||1|0|0|0||
1|39|MAND|UNAME1|setting|applName|UINT32|1|1|NDef|NDef|1279613001|2|0||0|NoRes||1||0|0|0|1||
1|40|MAND|UNAME2|setting||UINT32|1|1|NDef|NDef|1431134035|2|0||0|NoRes||1||0|0|0|1||
1|41|MAND|UNAME3|setting||UINT32|1|1|NDef|NDef|1163023951|2|0||0|NoRes||1||0|0|0|1||
1|42|MAND|UNAME4|setting||UINT32|1|1|NDef|NDef|538976288|2|0||0|NoRes||1||0|0|0|1||
1|43|MAND|PRODUCTCODE1|identification|_ProductCodeEAN|UINT32|4|1|NDef|NDef|NDef|1|0||0|NoRes||1||0|0|0|0||
1|44|MAND|PRODUCTCODE2|no||UINT32|4|1|NDef|NDef|NDef|1|0||0|NoRes||1||0|0|0|0||
1|45|MAND|PRODUCTCODE3|no||UINT32|4|1|NDef|NDef|NDef|1|0||0|NoRes||1||0|0|0|0||
1|46|MAND|PRODUCTCODE4|no||UINT32|4|1|NDef|NDef|NDef|1|0||0|NoRes||1||0|0|0|0||
1|47|MAND|PRGNRCOM|identification|_prgNoCOM|UINT32|0|0|NDef|NDef|NDef|1|0||0|NoRes||0||0|0|0|0||
1|48|MAND|VERSCOM|identification|_prgVerCOM|UINT16|0|0|NDef|NDef|NDef|1|0||0|NoRes||0||0|0|0|0||
1|49|MAND|REVCOM|identification|_prgRevCOM|UINT16|0|0|NDef|NDef|NDef|1|0||0|NoRes||0||0|0|0|0||
1|50|MAND|DEVICEFEATURES|no||UINT32|4|0|NDef|NDef|NDef|1|0||0|NoRes||1||0|0|0|0||
1|51|MAND|LOADERNR|identification|_prgNoLOD|UINT32|0|0|NDef|NDef|NDef|1|0||0|NoRes||0||0|0|0|0||
1|52|MAND|LOADERVERS|identification|_prgVerLOD|UINT16|0|0|NDef|NDef|NDef|1|0||0|NoRes||0||0|0|0|0||
1|53|MAND|LOADERDATE|identification|_buildDateLOD|UINT32|0|0|NDef|NDef|NDef|1|0||0|NoRes||0||0|0|0|0||
1|54|MAND|LOADERREV|identification|_prgRevLOD|UINT16|0|0|NDef|NDef|NDef|1|0||0|NoRes||0||0|0|0|0||
1|55|MAND|PUBLICKEY1|identification||UINT32|4|0|NDef|NDef|NDef|2|0||0|NoRes||0||0|0|0|0||
1|56|MAND|PUBLICKEY2|identification||UINT32|4|0|NDef|NDef|NDef|2|0||0|NoRes||0||0|0|0|0||
1|57|MAND|CUSTCODEREAD|identification||UINT32|4|0|NDef|NDef|NDef|1|0||0|NoRes||0||0|0|0|0||
1|58|MAND|CUSTCODEWRITE|identification||UINT32|4|0|NDef|NDef|NDef|0|0||0|NoRes||0||0|0|0|0||
1|59|MAND|SERNUMBMI1|identification|_serialNoP1BMI|UINT32|4|1|0|4294967295|NDef|1|0||0|NoRes||0||1|0|0|0||
1|60|MAND|SERNUMBMI2|identification|_serialNoP2BMI|UINT32|4|1|0|4294967295|NDef|1|0||0|NoRes||0||1|0|0|0||
1|61|MAND|SERNUMBMI3|identification|_serialNoP3BMI|UINT32|4|1|0|4294967295|NDef|1|0||0|NoRes||0||1|0|0|0||
1|62|MAND|SERNUMBMI4|identification|_serialNoP4BMI|UINT32|4|1|0|4294967295|NDef|1|0||0|NoRes||0||1|0|0|0||
1|63|MAND|BMICODE1|identification|_ProductCode1EAN|UINT32|4|1|NDef|NDef|NDef|1|0||0|NoRes||0||0|0|0|0||
1|64|MAND|BMICODE2|identification|_ProductCode2EAN|UINT32|4|1|NDef|NDef|NDef|1|0||0|NoRes||0||0|0|0|0||
1|65|MAND|BMICODE3|identification|_ProductCode3EAN|UINT32|4|1|NDef|NDef|NDef|1|0||0|NoRes||0||0|0|0|0||
1|66|MAND|BMICODE4|identification|_ProductCode4EAN|UINT32|4|1|NDef|NDef|NDef|1|0||0|NoRes||0||0|0|0|0||
2|1|DEVCFG|IDCPU|no|HW rev. CPU|UINT32|0|0|NDef|NDef|NDef|1|0||0|NoRes||1||0|0|0|0||
2|2|DEVCFG|IDPOWER|no|HW rev. PA|UINT32|0|0|NDef|NDef|NDef|1|0||0|NoRes||1||0|0|0|0||
2|3|DEVCFG|IDMODCOM|no|_COM_ID|UINT32|0|0|NDef|NDef|NDef|1|0||0|NoRes||1||0|0|0|0||
2|4|DEVCFG|IDMODENC|no|_ENC2_ID|UINT32|0|0|NDef|NDef|NDef|1|0||0|NoRes||1||0|0|0|0||
2|5|DEVCFG|IDMODSAM|no|eSM_type|UINT32|0|0|NDef|NDef|NDef|1|0||0|NoRes||1||0|0|0|0||
2|6|DEVCFG|IDCUSTOM|no||UINT32|0|0|NDef|NDef|NDef|1|0||0|NoRes||1||0|0|0|0||
